ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202309,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,17534495.91,135075,1949936.65,1799,17332066.92,86555,2169069.67,5063,5254,91,5036,92
202411,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,20779199.45,145263,1472025.16,1313,18420421.52,93179,2411856.6,9959,4861,77,4766,70
202205,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,42082420.01,105775,20843760.92,9793,40106362.27,86534,22351030.66,23901,8429,605,8441,633
202103,5106653,Pontal Do Araguaia,51,MATO GROSSO,CO,CENTRO-OESTE,3944422.08,9037,1005616.84,919,3828058.55,8623,646043.56,669,1224,78,1422,70
202408,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,32980591.31,223311,3332023.03,4459,31033018.5,152648,3502142.89,16607,6502,133,6229,131
202401,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,26413734.91,177794,2856655.26,2610,24811613.43,121676,3241145.14,10767,5941,116,5773,116
202412,4308805,General Câmara,43,RIO GRANDE DO SUL,SU,SUL,20601677.21,130917,7929062.6,5637,18806409.65,65673,7552562.52,18291,4211,244,4030,246
202201,1701903,Araguacema,17,TOCANTINS,NO,NORTE,4834575.45,20355,957344.48,971,4688106.65,16736,638872.2,1384,1821,67,1892,63
202306,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,16679875.07,115819,1444943.4,1882,15875973.53,77857,1721860.9,6130,4955,93,4847,91
202112,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,9889266.93,45494,923955.14,654,9463796.02,39433,1123247.41,2218,3154,64,3300,65
202211,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,15931658.78,91422,2558987.03,1758,15274720.3,70402,3191398.16,5946,4652,88,4635,102
202106,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,2161664.42,8002,875635.81,375,2634343.83,8306,398044.57,405,1278,46,1304,36
202507,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,54673481.64,293048,17818148.91,16593,48854016.63,169082,19377953.56,59189,6439,310,6307,292
202508,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,54252680.47,309689,21519966.67,16693,50295933.67,173957,18571349.98,61691,6499,321,6325,296
202102,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,591237.12,1747,51441.92,51,709396.38,1978,86202.87,45,407,9,528,10
202204,2807204,Siriri,28,SERGIPE,NE,NORDESTE,5841823.24,29332,1289501.0,874,5743619.5,24820,1599676.37,1361,2114,51,2233,38
202012,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,326172.2,1033,192190.35,34,360113.46,969,27368.51,14,242,6,304,6
202509,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,2833916.15,18855,275897.73,272,2460822.96,11569,1306559.88,1657,3587,54,2875,49
202410,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,32584767.49,220967,2733885.9,4438,30222512.23,151761,3995447.87,18662,6545,146,6278,138
202303,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,18699797.3,110985,2615906.97,1869,17842563.94,84402,2965677.19,8901,5145,103,5126,114
202110,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,6426083.42,33184,329311.44,387,6372568.61,30035,508370.8,1329,2986,53,2950,60
202103,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,8003012.6,15860,5248277.21,1909,8690201.11,15890,3115281.82,1885,3020,275,3356,312
